step,equity
192,22388.676305127756
193,22237.575751110195
194,22339.564476375926
195,23154.319720304033
196,23038.54812170251
197,23120.3344487092
198,23004.732776465655
199,22926.242041270856
200,22862.80475566209
201,22748.49073188378
202,22634.74827822436
203,22540.579417142253
204,22770.25253575645
205,22644.751802834093
206,22472.224013975694
207,22751.30964840093
208,22646.506510294334
209,22420.60760785415
210,22287.552479246082
211,22327.22088327611
212,22285.494943166144
213,23095.838956138316
214,22980.359761357624
215,23857.097249594062
216,23874.145417423482
217,23754.774690336366
218,23794.985831745904
219,23861.767093518
220,23934.488982851435
221,24059.30170856074
222,24071.864735691783
223,24068.91207567292
224,24344.639727300724
225,24271.95873757997
226,24464.926900990955
227,24370.285789964833
228,24248.43436101501
229,24206.869726780245
230,24112.97771671013
231,24132.453601458416
232,24201.721958142887
233,24270.984929462982
234,24149.630004815666
235,24295.335895425706
236,24349.502919976225
237,24725.948412454356
238,24861.69495040756
239,24737.386475655523
240,24701.800763989384
241,24790.920542264765
242,24676.062019386343
243,24690.20376256358
244,24722.599043926693
245,24490.399870598692
246,24618.13233215491
247,24886.920481783985
248,24801.27296830137
249,24677.266603459866
250,24815.399431765258
251,24691.32243460643
252,24567.8658224334
253,24450.424217229393
254,24787.30594773075
255,24663.369417992097
256,24550.132144930456
257,24467.765187680834
258,24240.506261312326
259,24494.19867027848
260,24397.0249587537
261,24710.07187489755
262,24860.286415815157
263,25207.066030005564
264,24955.62554635626
265,25180.10938795838
266,25316.27104068452
267,25189.6896854811
268,25003.73264831942
269,24957.340646972905
270,24839.48683679236
271,24806.49376949133
272,25409.98432014343
273,25282.934398542715
274,25567.37081837519
275,25312.3362944619
276,25233.647417866257
277,25347.919418029705
278,25284.559641160347
279,25489.667297700147
280,25445.699970886846
281,25318.47147103241
282,25446.822523984345
283,25319.588411364424
284,25320.839614785964
285,25111.728193515697
286,25049.994554148594
287,25184.95175519245
288,25321.00843537857
289,25434.751176939943
290,25313.288750646512
291,25060.788695358813
292,25273.738387648562
293,25147.36969571032
294,25565.93474892209
295,25593.014245937287
296,25815.96764708452
297,25745.783757594003
298,25645.595563369006
299,25630.227664865186
300,25475.19437562757
301,25394.685224176865
302,25521.58726602843
303,25707.88752844352
304,25551.810380001687
305,25296.93107146117
306,25044.594184023346
307,25112.433360525876
308,25008.253014229005
309,24883.21174915786
310,25031.880157248048
