ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,profit,commission,swap,comment
1,US100.cash,buy,1.64,2026.06.22 15:30:00,30512.38,2026.06.22 17:00:00,30512.38,0,-5.04,0,0,ORB15
2,US100.cash,buy,1.64,2026.06.22 16:30:00,30566.98,2026.06.22 18:00:00,30483.48,0,-193.01,0,0,ORB16
479646929,US100.cash,buy,1.58,2026.06.23 16:53:34,29597.38,2026.06.23 17:32:18,29597.13,29597.38,-0.58,0,0,ORB15
479596177,US100.cash,buy,1.60,2026.06.23 16:32:10,29448.08,2026.06.23 16:36:53,29366.83,29367.88,-187.44,0,0,ORB16
480898073,US100.cash,buy,1.55,2026.06.24 17:48:20,29566.48,2026.06.24 17:55:12,29489.03,29489.18,-174.22,0,0,ORB15
480751505,US100.cash,buy,1.57,2026.06.24 16:32:40,29485.78,2026.06.24 16:40:09,29402.33,29401.78,-189.98,0,0,ORB16
