ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,profit,commission,swap,comment
481729160,US100.cash,buy,1.61,2026.06.25 15:31:00,29933.38,2026.06.25 16:05:39,29859.43,29860.28,-172.47,0,0,ORB15
481825217,US100.cash,sell,1.60,2026.06.25 16:30:20,29829.43,2026.06.25 17:33:12,29395.88,29394.38,1004.63,0,0,ORB16
482830735,US100.cash,sell,1.70,2026.06.26 15:39:35,29036.63,2026.06.26 16:27:59,29038.88,29036.63,-5.55,0,0,ORB15
482915056,US100.cash,buy,1.70,2026.06.26 16:31:43,29063.88,2026.06.26 16:33:01,28983.53,28985.18,-197.85,0,0,ORB16
